Size	   Bubble Sort	Selection Sort	Insertion Sort
50	48518.695	17693.426	41466.816
100	34258.875	17926.32	75728.49
150	73731.125	33887.38	42087.375
200	100577.49	44556.55	29423.865
250	157577.89	66705.44	32635.506
300	216317.28	106994.42	56754.6
350	296349.4	135858.5	59821.664
400	382492.1	169283.48	81049.695
450	472789.75	225390.02	100797.1
500	582567.0	262635.2	126484.54
550	671942.8	300089.06	157914.84
600	772048.5	334715.75	167700.6
650	891081.1	388948.56	191235.2
700	1032513.44	449464.84	219562.95
750	1176895.9	512900.0	252854.2
800	1389026.4	613165.8	291729.47
850	1545230.4	660977.44	332380.28
900	1677701.2	727005.4	358213.56
950	1866291.0	809447.44	397738.53
1000	2066369.9	890884.9	440937.7
